1704,0
2097,0
516,0
2327,0
1706,0
2421,0
238,1
2049,0
13,1
3290,0
2471,0
144,1
206,1
460,1
488,0
445,0
2191,0
56,1
1533,0
2377,0
779,0
734,1
2373,0
1398,1
762,1
2099,1
1319,1
2889,0
3289,0
819,1
3460,1
798,1
1135,1
2136,0
600,1
622,1
232,1
959,1
1504,0
227,1
3646,0
910,1
2208,0
2648,0
788,1
1518,0
2705,0
3181,0
2428,0
2089,0
3160,0
364,1
1270,0
2219,0
3286,0
509,1
3186,1
2501,0
580,1
1221,1
168,1
3401,0
268,1
3342,0
1087,1
2478,0
2357,0
301,1
1285,1
2310,0
1294,1
2359,0
296,1
2060,0
3515,0
210,1
374,1
2253,0
3245,0
1994,0
1696,0
1781,0
1678,0
456,1
275,1
2810,0
695,1
260,1
305,1
2627,0
77,1
2498,0
717,1
1077,1
3427,0
914,1
1687,1
927,1
3539,0
3540,1
1015,1
1722,0
156,1
3575,1
858,1
37,1
668,1
353,1
1681,0
1755,0
953,1
1410,0
1595,0
242,1
903,0
396,1
2174,0
842,1
1311,1
1370,1
1908,0
2371,1
3307,0
2795,0
2653,1
2725,0
3111,0
1321,1
533,1
2673,0
1657,0
1831,0
3310,1
41,1
3182,1
2015,0
2598,0
402,1
937,1
357,1
1790,0
604,1
369,1
2033,0
559,0
1663,0
2325,0
1688,0
2518,0
1053,0
2547,0
2451,0
619,1
2806,1
1747,0
2681,0
1591,0
1930,1
949,1
2480,0
49,1
1569,0
2257,0
1016,1
2761,0
419,1
2599,0
1156,1
3078,1
2660,1
2658,0
2617,0
122,1
200,1
1085,1
324,0
489,1
9,1
3240,0
1647,0
3047,1
1788,0
2737,0
605,1
2914,0
2422,0
2560,0
286,1
36,1
2375,0
739,1
2734,0
2017,0
3292,1
2544,0
918,0
346,1
1432,1
2669,0
2686,0
1736,1
3394,0
2264,0
3102,0
2619,0
1194,1
626,0
2270,0
299,1
889,1
2694,0
1022,1
1812,0
3465,0
2570,0
3153,0
1342,0
3430,0
1757,0
416,1
3302,0
2959,0
1491,1
1878,0
2164,0
3238,0
3273,0
1802,0
3242,0
2292,0
3148,0
1361,0
2158,0
1551,0
991,1
2909,0
2,1
1771,0
11,1
693,1
406,1
345,1
65,1
2521,0
890,1
561,0
2582,0
3149,0
2721,0
2449,0
601,1
1894,1
1162,1
3393,1
3347,1
1519,1
2013,0
2152,0
380,0
787,1
614,1
3360,0
1558,0
1716,0
2056,0
657,0
3513,1
1029,1
1524,0
2173,0
3138,0
2577,0
1582,1
2098,0
728,0
1695,0
2290,0
2419,0
1239,0
1931,0
3526,1
3576,1
2512,0
3214,0
2435,0
1131,1
2550,0
1843,0
452,1
813,1
494,1
712,1
1302,1
3326,0
1351,1
2867,0
560,1
1691,0
1326,0
936,1
2826,0
464,1
2350,1
2793,0
718,1
3146,0
888,1
3447,0
2514,0
2111,1
1159,1
2304,0
385,1
223,1
1515,0
2946,0
1817,0
21,1
1446,1
2970,0
3331,0
2078,0
2074,0
680,1
96,0
3057,0
1065,1
2804,0
1808,1
188,0
159,1
1120,1
2043,0
530,1
3132,0
2957,0
2719,0
1859,1
1303,1
2548,0
3277,0
3164,0
1469,1
771,0
3594,1
1577,0
1262,0
1508,0
2003,0
491,1
2440,0
3041,0
3252,1
2927,0
2608,0
1777,0
822,1
2727,1
316,1
811,1
2023,0
517,1
2084,0
845,0
994,1
3140,0
1896,0
39,1
